Time of Day	Process Name	PID	Operation	Path	Result	Detail
"15:51:57,8780248"	Procmon64.exe	6728	RegQueryValue	HKLM\System\CurrentControlSet\Control\WMI\Security\9e814aad-3204-11d2-9a82-006008a86939	SUCCESS	"Type: REG_BINARY, Length: 184, Data: 01 00 04 80 14 00 00 00 24 00 00 00 00 00 00 00"
"15:51:57,8782541"	System	4	Thread Create		SUCCESS	Thread ID: 7740
"15:51:57,8783319"	Procmon64.exe	6728	Thread Create		SUCCESS	Thread ID: 15172
"15:51:57,8783699"	Procmon64.exe	6728	Thread Create		SUCCESS	Thread ID: 9408
"15:51:57,8784050"	Procmon64.exe	6728	Thread Create		SUCCESS	Thread ID: 10496
"15:51:57,8784392"	Procmon64.exe	6728	Thread Create		SUCCESS	Thread ID: 16996
"15:51:57,8784538"	Procmon64.exe	6728	RegOpenKey	HKLM\HARDWARE\DESCRIPTION\System\CentralProcessor\0	SUCCESS	Desired Access: Read
"15:51:57,8784781"	Procmon64.exe	6728	Thread Create		SUCCESS	Thread ID: 15076
"15:51:57,8784820"	Procmon64.exe	6728	RegQueryValue	HKLM\HARDWARE\DESCRIPTION\System\CentralProcessor\0\~MHz	SUCCESS	"Type: REG_DWORD, Length: 4, Data: 2395"
"15:51:57,8850193"	MSASCuiL.exe	17144	Process Profiling		SUCCESS	"User Time: 0.1875000 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 3 321 856, Working Set: 10 887 168"
"15:51:57,8850436"	Explorer.EXE	2016	QueryOpen	C:\Users\MohammedAmine\AppData\Local\Temp\Procmon64.exe	FAST IO DISALLOWED	
"15:51:57,8850526"	chrome.exe	12652	Process Profiling		SUCCESS	"User Time: 0.0625000 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 24 948 736, Working Set: 19 562 496"
"15:51:57,8850808"	Explorer.EXE	2016	RegQueryKey	HKLM	SUCCESS	"Query: HandleTags, HandleTags: 0x0"
"15:51:57,8850860"	chrome.exe	16200	Process Profiling		SUCCESS	"User Time: 0.3437500 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 26 071 040, Working Set: 20 893 696"
